头实体	关系	尾实体
呼吸急促	涉及症状	发热
呼吸急促	涉及症状	呼吸困难
呼吸急促	涉及症状	呼吸浅慢
呼吸急促	就诊科室	呼吸内科
呼吸急促	涉及症状	创伤
呼吸急促	属于	症状
功能性消化不良	涉及症状	食欲不振
功能性消化不良	属于	疾病
功能性消化不良	涉及症状	暴饮暴食
功能性消化不良	医学专科	消化内科
功能性消化不良	来源	百度百科
功能性消化不良	涉及症状	食欲减退
功能性消化不良	涉及症状	纳差
功能性消化不良	名称	消化不良
易跌倒	涉及症状	下肢无力
易跌倒	涉及疾病	动脉粥样硬化
易跌倒	属于	症状
神志不清	涉及疾病	钩端螺旋体病
神志不清	涉及疾病	回归热
神志不清	涉及检查	动脉血气分析
神志不清	就诊科室	神经科
神志不清	属于	症状
巨人症与肢端肥大症	科室	内分泌科
巨人症与肢端肥大症	涉及症状	乏力
巨人症与肢端肥大症	属于	疾病
巨人症与肢端肥大症	涉及症状	汗毛过多
肾源性水肿	属于	症状
肾源性水肿	涉及症状	胸水
肾源性水肿	涉及症状	利尿
肾源性水肿	涉及症状	蛋白尿
肾源性水肿	涉及症状	低蛋白血症
肾源性水肿	涉及症状	胸闷
肾源性水肿	涉及疾病	感染性心内膜炎
肾源性水肿	涉及症状	肝源性水肿
肾源性水肿	涉及疾病	获得性免疫缺陷综合征
肾源性水肿	涉及疾病	尿毒症性肺炎
咽部充血	涉及症状	咽痛
咽部充血	涉及症状	发热
咽部充血	涉及疾病	慢性咽炎
咽部充血	涉及症状	食欲不振
咽部充血	涉及症状	充血
咽部充血	就诊科室	外科
咽部充血	属于	症状
咽部充血	涉及症状	咽喉炎
咽部充血	涉及症状	淋巴结肿大
咽部充血	涉及疾病	流行性感冒
咽部充血	涉及症状	疲劳
咽部充血	涉及症状	多饮
咽部充血	涉及疾病	急性咽炎
咽部充血	涉及疾病	药物性角膜病
乙肝小三阳	来源	医学百科
乙肝小三阳	名称	小三阳
乙肝小三阳	来源	互动百科
乙肝小三阳	属于	疾病
乙肝小三阳	属于	症状
乙肝小三阳	医学专科	内科
乙肝小三阳	来源	中文维基百科
乙肝小三阳	涉及检查	血常规
畏寒	涉及症状	疲劳
畏寒	属于	症状
畏寒	涉及症状	恶寒
畏寒	就诊科室	内科
畏寒	涉及疾病	流行性感冒
畏寒	涉及症状	高热
畏寒	涉及症状	发热
畏寒	涉及疾病	急性咽炎
皮肤科	属于	医学专科
皮肤科	属于	科室
出现毒性颗粒	属于	症状
出现毒性颗粒	涉及症状	恶心
出现毒性颗粒	涉及症状	心动过速
出现毒性颗粒	涉及症状	呼吸急促
出现毒性颗粒	涉及疾病	烧伤
出现毒性颗粒	涉及症状	少尿
出现毒性颗粒	涉及症状	高热
出现毒性颗粒	涉及症状	发热
出现毒性颗粒	涉及症状	寒战
出现毒性颗粒	涉及症状	氮质血症
出现毒性颗粒	涉及疾病	休克
出现毒性颗粒	涉及疾病	败血症
出现毒性颗粒	涉及疾病	脓毒症
虚脱	涉及疾病	血管活性肠肽瘤
虚脱	涉及症状	大小便失禁
虚脱	涉及疾病	伤寒
虚脱	涉及检查	动脉血气分析
虚脱	涉及症状	恐惧
虚脱	涉及症状	充血
虚脱	涉及症状	疲劳
虚脱	涉及疾病	感染性休克
虚脱	涉及症状	恶心
虚脱	属于	症状
虚脱	就诊科室	中医科
听力减退	涉及症状	听力下降
听力减退	涉及症状	疲劳
听力减退	涉及症状	耳痛
听力减退	涉及症状	耳硬化症
听力减退	涉及疾病	血管神经性水肿
听力减退	涉及检查	耳、鼻、咽拭子细菌培养
听力减退	属于	症状
听力减退	涉及症状	麻痹
劳力性呼吸困难	涉及症状	迷走神经兴奋
劳力性呼吸困难	涉及症状	小支气管痉挛
劳力性呼吸困难	涉及疾病	急性白血病
劳力性呼吸困难	涉及症状	心包压塞
劳力性呼吸困难	就诊科室	内科
劳力性呼吸困难	涉及症状	胸闷憋气
劳力性呼吸困难	涉及症状	胸水
劳力性呼吸困难	涉及症状	气喘
劳力性呼吸困难	涉及疾病	肺气肿
劳力性呼吸困难	涉及症状	心源性呼吸困难
劳力性呼吸困难	属于	症状
劳力性呼吸困难	涉及症状	心动过速
劳力性呼吸困难	就诊科室	呼吸内科
劳力性呼吸困难	涉及症状	肺淤血
劳力性呼吸困难	涉及症状	心率增快
周身不适	涉及症状	咽痛
周身不适	涉及症状	鼻塞
周身不适	涉及症状	中性粒细胞增高
周身不适	涉及症状	充血
周身不适	涉及症状	多饮
周身不适	属于	症状
周身不适	涉及症状	低热
周身不适	涉及症状	胸闷
周身不适	涉及症状	干咳
周身不适	涉及症状	脓性分泌物
肺气肿	来源	医学百科
肺气肿	涉及症状	胸闷憋气
肺气肿	科室	胸部外科
肺气肿	涉及症状	胸闷
肺气肿	涉及症状	劳力性呼吸困难
肺气肿	来源	中文维基百科
肺气肿	发病部位	肺部
肺气肿	涉及检查	PaO2
肺气肿	医学专科	内科
肺气肿	来源	互动百科
肺气肿	属于	疾病
喘息	涉及症状	脾虚
喘息	涉及症状	气喘
喘息	涉及症状	嗜酒
喘息	涉及症状	紧张
喘息	涉及症状	心悸
喘息	属于	症状
喘息	涉及症状	呼吸异常
喘息	涉及症状	脾气虚
喘息	涉及症状	哮鸣音
喘息	涉及疾病	支气管哮喘
喘息	涉及症状	气短
口唇发绀	涉及症状	发绀
口唇发绀	涉及疾病	感染性休克
口唇发绀	涉及症状	心悸
口唇发绀	涉及症状	呼吸困难
口唇发绀	涉及疾病	急性呼吸窘迫综合征
口唇发绀	涉及疾病	湿疹
口唇发绀	属于	症状
癌性发热	涉及检查	体温
癌性发热	涉及疾病	直肠类癌
癌性发热	涉及症状	高热
癌性发热	涉及症状	瘀血
癌性发热	涉及疾病	食管癌
癌性发热	涉及疾病	原发性肝癌
癌性发热	涉及疾病	肺癌
癌性发热	涉及症状	非感染性发热
癌性发热	属于	症状
癌性发热	涉及疾病	嗜铬细胞瘤
癌性发热	涉及症状	血缺氧
癌性发热	涉及疾病	颅内转移瘤
指(趾)肿胀	涉及检查	动脉血气分析
指(趾)肿胀	属于	症状
创伤	涉及疾病	休克
创伤	涉及症状	瘀血
创伤	属于	症状
创伤	涉及症状	耳痛
范可尼综合征	属于	疾病
范可尼综合征	涉及症状	代谢性酸中毒
范可尼综合征	科室	儿科
范可尼综合征	涉及症状	糖尿
嗜铬细胞瘤	属于	疾病
嗜铬细胞瘤	涉及症状	癌性发热
嗜铬细胞瘤	科室	泌尿外科
嗜铬细胞瘤	涉及症状	继发性便秘
肢体的非凹性水肿	属于	症状
肢体的非凹性水肿	涉及检查	尿常规
肢体的非凹性水肿	涉及检查	肌红蛋白
张口呼吸	涉及疾病	慢性咽炎
张口呼吸	涉及疾病	萎缩性鼻炎
张口呼吸	属于	症状
张口呼吸	涉及疾病	鼻中隔偏曲
张口呼吸	涉及疾病	鼻咽癌
张口呼吸	涉及症状	鼻塞
张口呼吸	涉及疾病	急性咽炎
慢性贫血	涉及症状	泌尿系感染
慢性贫血	属于	症状
急性重症胆管炎	涉及症状	高热寒战
急性重症胆管炎	属于	疾病
急性重症胆管炎	涉及症状	腹痛，发热及黄疸
急性重症胆管炎	科室	肝胆外科
妊娠蛋白尿	涉及症状	面部蝶形红斑
妊娠蛋白尿	涉及症状	尿蛋白
妊娠蛋白尿	涉及检查	尿常规
妊娠蛋白尿	涉及症状	心力衰竭
妊娠蛋白尿	涉及疾病	血管神经性水肿
妊娠蛋白尿	属于	症状
妊娠蛋白尿	涉及症状	蛋白尿
妊娠蛋白尿	涉及疾病	急性肾盂肾炎
疲劳	涉及症状	甲状腺机能亢进
疲劳	涉及症状	听力下降
疲劳	涉及症状	无力
疲劳	属于	症状
疲劳	涉及疾病	镇静药、催眠药、安定药中毒
脂肪瘤	来源	互动百科
脂肪瘤	科室	整形外科
脂肪瘤	医学专科	外科
脂肪瘤	涉及症状	非感染性发热
脂肪瘤	属于	疾病
脂肪瘤	来源	医学百科
脂肪瘤	来源	中文维基百科
脂肪瘤	涉及症状	左心衰竭
下肢深静脉血栓形成	涉及症状	高凝状态
下肢深静脉血栓形成	科室	血管外科
下肢深静脉血栓形成	涉及症状	下肢肿胀和乏力
下肢深静脉血栓形成	涉及症状	下肢或周身软瘫
下肢深静脉血栓形成	科室	普通外科
下肢深静脉血栓形成	涉及症状	下肢肌肉瘫痪
下肢深静脉血栓形成	属于	疾病
下肢深静脉血栓形成	涉及症状	下肢浅静脉曲张
直肠类癌	涉及症状	嗳气
直肠类癌	涉及症状	白细胞尿
直肠类癌	来源	中文维基百科
直肠类癌	涉及症状	癌性发热
直肠类癌	来源	医学百科
直肠类癌	科室	普通外科
直肠类癌	来源	互动百科
直肠类癌	属于	疾病
发热伴有皮疹	涉及症状	淋巴结结核
发热伴有皮疹	涉及症状	发热伴寒战
发热伴有皮疹	涉及症状	发热伴淋巴结肿大、并伴触痛
发热伴有皮疹	涉及症状	低热
发热伴有皮疹	涉及疾病	埃可病毒感染
发热伴有皮疹	属于	症状
发热伴有皮疹	涉及疾病	麻疹
发热伴有皮疹	涉及症状	发热伴出血
发热伴有皮疹	涉及疾病	湿疹
发热伴有皮疹	涉及症状	斑疹
发热伴有皮疹	涉及疾病	猩红热
发热伴有皮疹	涉及症状	发热伴关节肿痛
发热伴有皮疹	涉及症状	发热伴眼睛充血
发热伴有皮疹	涉及症状	免疫缺陷
发热伴有皮疹	涉及疾病	接触性皮炎
山茱萸	用法	煎汤
山茱萸	用法	入丸、散
山茱萸	归经	肾经
山茱萸	主治	危重型：内闭外脱
山茱萸	归经	肝经
山茱萸	属于	药草
山茱萸	忌同食	防风
山茱萸	副作用	会导致胎儿以及动物的胚胎出现一定的致畸作用
山茱萸	功效	补益肝肾
山茱萸	忌同食	桔梗
山茱萸	忌同食	防己
山茱萸	组成	内闭外脱方剂
山茱萸	属于	中药
山茱萸	属于	中药材
山茱萸	功效	涩精固脱
多发性脑膜瘤	属于	疾病
多发性脑膜瘤	科室	神经外科
多发性脑膜瘤	涉及症状	下肢肿胀和乏力
风疹	来源	百度百科
风疹	医学专科	感染科
风疹	涉及症状	胰岛细胞破坏
风疹	涉及症状	玫瑰疹
风疹	属于	疾病
风疹	涉及检查	淋巴细胞计数
肺泡蛋白沉着症	涉及检查	动脉血氧分压
肺泡蛋白沉着症	名称	小儿肺泡性蛋白沉积症
肺泡蛋白沉着症	来源	医学百科
肺泡蛋白沉着症	属于	疾病
肺泡蛋白沉着症	来源	互动百科
肺泡蛋白沉着症	来源	中文维基百科
肺泡蛋白沉着症	医学专科	儿科
