Subject	Predicate	Object
Shortness of breath	involving_symptoms	fever
Shortness of breath	involving_symptoms	Dyspnea
Shortness of breath	involving_symptoms	Shallow breathing
Shortness of breath	clinic department	Respiratory Medicine
Shortness of breath	involving_symptoms	trauma
Shortness of breath	belongTo	symptom
Functional dyspepsia	involving_symptoms	Loss of appetite
Functional dyspepsia	belongTo	disease
Functional dyspepsia	involving_symptoms	Overeating
Functional dyspepsia	medical college	GI Medicine
Functional dyspepsia	source	baidubaike
Functional dyspepsia	involving_symptoms	Anorexia
Functional dyspepsia	involving_symptoms	Poor appetite
Functional dyspepsia	name	Indigestion
Easy to fall	involving_symptoms	Lower limb weakness
Easy to fall	involved_in_disease	atherosclerosis
Easy to fall	belongTo	symptom
Unconsciousness	involved_in_disease	Leptospirosis
Unconsciousness	involved_in_disease	?relapsing fever
Unconsciousness	involve_checking	Arterial blood gas analysis
Unconsciousness	clinic department	Neurology
Unconsciousness	belongTo	symptom
Gigantism and acromegaly	department	Endocrine Department
Gigantism and acromegaly	involving_symptoms	fatigue
Gigantism and acromegaly	belongTo	disease
Gigantism and acromegaly	involving_symptoms	Excessive hairs
renal edema 	belongTo	symptom
renal edema 	involving_symptoms	Pleural effusion
renal edema 	involving_symptoms	Diuresis
renal edema 	involving_symptoms	Proteinuria
renal edema 	involving_symptoms	Hypoproteinemia
renal edema 	involving_symptoms	Chest tightness
renal edema 	involved_in_disease	Infective endocarditis
renal edema 	involving_symptoms	Hepatogenic edema
renal edema 	involved_in_disease	Acquired immunodeficiency syndrome
renal edema 	involved_in_disease	uremic pneumonia
Hyperemia of pharynx	involving_symptoms	Sore throat
Hyperemia of pharynx	involving_symptoms	fever
Hyperemia of pharynx	involved_in_disease	chronic pharyngitis
Hyperemia of pharynx	involving_symptoms	Loss of appetite
Hyperemia of pharynx	involving_symptoms	congestion
Hyperemia of pharynx	clinic department	Surgery
Hyperemia of pharynx	belongTo	symptom
Hyperemia of pharynx	involving_symptoms	Iaryngopharyngitis
Hyperemia of pharynx	involving_symptoms	Lymphadenopathy
Hyperemia of pharynx	involved_in_disease	Influenza
Hyperemia of pharynx	involving_symptoms	fatigue
Hyperemia of pharynx	involving_symptoms	Polydipsia
Hyperemia of pharynx	involved_in_disease	Acute pharyngitis
Hyperemia of pharynx	involved_in_disease	Drug keratopathy
Small three yang of hepatitis B	source	medicalbaike
Small three yang of hepatitis B	name	Three mistress
Small three yang of hepatitis B	source	hudongbaike
Small three yang of hepatitis B	belongTo	disease
Small three yang of hepatitis B	belongTo	symptom
Small three yang of hepatitis B	medical college	Internal medicine
Small three yang of hepatitis B	source	WikiPedia
Small three yang of hepatitis B	involve_checking	Routine blood test
Chills	involving_symptoms	fatigue
Chills	belongTo	symptom
Chills	involving_symptoms	Chills
Chills	clinic department	Internal medicine
Chills	involved_in_disease	Influenza
Chills	involving_symptoms	Hyperthermia
Chills	involving_symptoms	fever
Chills	involved_in_disease	Acute pharyngitis
The skin Department	belongTo	medicine-specialist
The skin Department	belongTo	department
Presence of toxic particles	belongTo	symptom
Presence of toxic particles	involving_symptoms	nausea
Presence of toxic particles	involving_symptoms	Tachycardia
Presence of toxic particles	involving_symptoms	Shortness of breath
Presence of toxic particles	involved_in_disease	Burn
Presence of toxic particles	involving_symptoms	Oliguria
Presence of toxic particles	involving_symptoms	Hyperthermia
Presence of toxic particles	involving_symptoms	fever
Presence of toxic particles	involving_symptoms	Shiver
Presence of toxic particles	involving_symptoms	Azemia
Presence of toxic particles	involved_in_disease	shock
Presence of toxic particles	involved_in_disease	Septicemia
Presence of toxic particles	involved_in_disease	Sepsis
Collapse	involved_in_disease	Vasoactive enteropeptoma
Collapse	involving_symptoms	incontinence
Collapse	involved_in_disease	Typhoid fever
Collapse	involve_checking	Arterial blood gas analysis
Collapse	involving_symptoms	Fear
Collapse	involving_symptoms	congestion
Collapse	involving_symptoms	fatigue
Collapse	involved_in_disease	Septic shock
Collapse	involving_symptoms	nausea
Collapse	belongTo	symptom
Collapse	clinic department	Traditional Chinese Medicine Department
Hearing loss	involving_symptoms	Hearing loss
Hearing loss	involving_symptoms	fatigue
Hearing loss	involving_symptoms	Ear pain
Hearing loss	involving_symptoms	Ear hard
Hearing loss	involved_in_disease	Angioneurotic edema
Hearing loss	involve_checking	Bacterial culture of ear, nose and throat swabs
Hearing loss	belongTo	symptom
Hearing loss	involving_symptoms	paralysis
Exertional dyspnea	involving_symptoms	Vagal excitation
Exertional dyspnea	involving_symptoms	Bronchospasm
Exertional dyspnea	involved_in_disease	acute leukemia
Exertional dyspnea	involving_symptoms	Pericardial tamponade
Exertional dyspnea	clinic department	Internal medicine
Exertional dyspnea	involving_symptoms	Chest tightness and suffocation
Exertional dyspnea	involving_symptoms	Pleural effusion
Exertional dyspnea	involving_symptoms	asthma
Exertional dyspnea	involved_in_disease	emphysema
Exertional dyspnea	involving_symptoms	Cardiogenic dyspnea
Exertional dyspnea	belongTo	symptom
Exertional dyspnea	involving_symptoms	Tachycardia
Exertional dyspnea	clinic department	Respiratory Medicine
Exertional dyspnea	involving_symptoms	pulmonary venous pleonaemia
Exertional dyspnea	involving_symptoms	Heart rate increases
ants in sb.'s pant shirt	involving_symptoms	Sore throat
ants in sb.'s pant shirt	involving_symptoms	Nasal congestion
ants in sb.'s pant shirt	involving_symptoms	Neutropenia
ants in sb.'s pant shirt	involving_symptoms	congestion
ants in sb.'s pant shirt	involving_symptoms	Polydipsia
ants in sb.'s pant shirt	belongTo	symptom
ants in sb.'s pant shirt	involving_symptoms	Low fever
ants in sb.'s pant shirt	involving_symptoms	Chest tightness
ants in sb.'s pant shirt	involving_symptoms	Dry cough
ants in sb.'s pant shirt	involving_symptoms	Purulent secretion
emphysema	source	medicalbaike
emphysema	involving_symptoms	Chest tightness and suffocation
